Term,Definition
Specialty advertising,Free gifts or rewards requiring no purchase and car-rying a reminder advertising message.
Spokes-character,A created  or imaginary character who acts as aspokesperson.
Spokesperson,"A message strategy that uses an endorser, usually someone the624 GLOSSARY"
Spoofing,A practice used by e-mail spammers who assume the identity of acompany or organization to send fraudulentspam e-mails.
Spot announcements,Ads shown during the breaks between programs.
Spot buy,Broadcast advertising bought on a city-by-city basis rather thanthrough a national buy.
Spot color,The use of an accent color to call attention to an element in an adlayout.
Spot radio advertising,"A form of advertising in which an ad is placed withan individual station rather than through anetwork. Stakeholders (pp. 35, 216, 460) Groups of people with a common interest who have astake in a company and who can have animpact on its success. Standard Advertising Unit (SAU) (p. 356) A standardized system of advertising sizesin newspapers."
Standardization,"In international advertising, the use of campaigns that varylittle across different cultures."
Stereotype,"The process of posi- tioning a group of people in an unvaryingpattern that lacks individuality and oftenreflects popular misconceptions. Stickiness (pp. 108, 400) Ad messages that hold the audience’s interest long enoughfor the audience to register the point of thead; also refers to the amount of time aviewer spends on a website."
Stock footage,"Previously re- corded film, video, or still slides that areincorporated into a commercial."
Stop motion,"An animation tech- nique in which inanimate objects arefilmed one frame at a time, creating the il-lusion of movement. Store brands (pp. 46, 551) A variety of products branded with a particular store’sname."
Store traffic,"The number of peo- ple who come to a store to shop. Storyboard (pp. 282, 305) A series of frames sketched to illustrate how the storyline will develop.Straightforward"
message,A factual message that focuses on deliveringinformation. Strategic business unit (SBU) (p. 191) A division of a company focused on a line ofproducts or all the offerings under a singlebrand name.
Strategic consistency,"Messages vary with the interest of the stakeholder butthe brand strategy remains the same, pro-jecting a coherent image and position."
Strategic philanthropy,"Philan- thropy involves contributions of time, re-sources, or money to a good cause—it’sstrategic when it is aligned with an organi-zation or brand’s mission."
Strategic planning,"The process of determining objectives, deciding on strate-gies, and implementing the tactics."
Strategic research,All research that leads to the creation of an ad.
Strategy,"The design or plan by which objectives are accomplished. Streaming video (pp. 347, 393) Moving images transmitted online."
Structural analysis,"Developed by the Leo Burnett agency, this method evalu- ates the power of the narrative or story line,evaluates the strength of the product orclaim, and considers how well the two as-pects are integrated."
Subheads,Sectional headlines that are used to break up a mass of “gray” typein a lar ge block of copy.
Subliminal,Refers to messages transmitted below the threshold of normalperception so that the receiver is not con-sciously aware of having seen it.
Subscription television,Televi- sion service provided to people who signup for it and pay a monthly fee.
Substantiation,"Providing support for a claim, usually through research."
Superstations,Independent but high-power television stations.
Superstitials,Short Internet com- mercials that appear when you go from onepage on a website to another.
Supplements,Syndicated or local full-color advertising inserts that appear innewspapers throughout the week.
Suppliers,"Organizations, profes- sionals, and specialized businesses thatprovide goods and services."
Supply chain,"The network of sup- pliers who produce components and ingre-dients used by a manufacturer to make itsproducts.Support (p. 239) The proof, or substantia- tion needed to make a claim believable."
Survey research,Research using structured interview forms that ask largenumbers of people exactly the samequestions.
Sweeps,"In television program- ming, these are quarterly periods whenmore extensive audience data are gathered."
Sweepstakes,Contests that require only that the participant supply his or hername to participate in a random drawing.
Switchers,"Television viewers who change channels. SWOT analysis (pp. 39, 196) An analysis of a company or brand’s strengths, weak-nesses, opportunities, and threats."
Symbolic meaning,Communica- tion conveyed through association.
Syndication,"This is where local stations purchase television or radio showsthat are reruns or original programs to fillopen hours. Synergy (pp. 109, 549) The principle that when all the pieces work together, the wholeis greater than the sum of its parts."
T Tabloid,A newspaper with a page size five to six columns wide and 14 inchesdeep.
Tactic,The specific techniques se- lected to reflect the strategy.
Tag clouds,A visual representa- tion of the relative importance of key-words associated with an organization orconcept.
Tagging,"In Twitter, a technique of marking a keyword by inserting a hashsymbol (#)."
Taglines,Clever phrases used at the end of an advertisement to summarizethe ad’s message.
Tags,"In Twitter, a method of marking and categorizing comments andkeywords."
Take,"Each scene shot for a com- mercial, sometimes done repeatedly for thesame scene."
Talent,People who appear in tele- vision commercials.
Target market,"The market seg- ment(s) to which the marketer wants to sella product. Targeted cost per thousand (TCPM) (p. 438) The cost to expose 1,000 likely consumers of a product to an ad message.GLOSSARY 625"
Targeted reach,"The practice of identifying key characteristics of the targetpopulation to better match media audienceprofiles. Targeting, Target audience (pp. 15, 152) People who can be reached with a certain advertising medium and a partic-ular message."
Teaser,A message strategy that creates curiosity as the message unfolds insmall pieces over time.
Telemarketing,A type of market- ing that uses the telephone to make a per-sonal sales contact.
Television script,The written ver- sion of a television commercial specifyingall the video and audio information.
Test market,A group used to test some elements of an ad or a media mix intwo or more potential markets.
Testimonial,See “endorsement.” Text messaging (TM) (p. 346) Communi- cating using brief messages keyboardedinto a cell phone.
Theater of the mind,"In radio ad- vertising, the story is visualized in the lis-tener’s imagintion. Think/Feel/Do"
Thumbnail sketches,Small pre- liminary sketches of various layout ideas.
Tie-ins,Preprinted ads that are pro- vided by the advertiser to be glued into thebinding of a magazine.
Time-shifting,Using digital video recorders (DVRs) to record television pro-gramming for playback at some other time.
Tint blocks,A screen process that creates shades of gray or colors in blocks.
Tip-ins,"Preprinted ads that are provided by the advertiser to be glued intothe binding of a magazine. Tone of voice (pp. 231, 263) Ad copy is written as a conversation or an announce-ment and the voices carry emotional cues. Touch points (pp. 54, 218, 338) The con- tact points where customers interact withthe brand and receive brand messages."
Town hall forums,Meetings within an organization as part of an inter-nal marketing program to inform employ- ees and encourage their support.
Tracking studies,Studies that fol- low the purchase of a brand or the purchasesof a specific consumer group over time.
Trade advertising,A type of  business-to-business advertising that tar-gets members of the distribution channel.
Trade deal,"An arrangement in which the retailer agrees to give the manu-facturer’s product a special promotional ef-fort in return for product discounts, goods, or cash."
Trade show,"A gathering of com- panies within a specific industry to display their products. Trademark (pp. 49, 82) When a brand name or brand mark is legally protected through registration with the Patent and Trademark Office of the Department of Commerce."
Traditional delivery,Delivery of magazines to readers through newsstands or home delivery .
Traffic department,People within an agency who are responsible for keepingtrack of project elements and keeping thework on deadline.
Trailers,Advertisements shown in movie theaters before the feature.
Transformation,"Creating mean- ing for a brand that makes it a special prod-uct, one that is differentiated within itscategory by its image."
Trend spotters,Researchers who specialize in identifying trends and fadsthat may affect consumer attitudes andbehavior.
Trial,Trying a product is usually the first step in making a purchase.
Tweets,A short comment of 140 characters made by Twitter users.
Two-step offer,"A message that is designed to gather leads, answer consumerquestions, or set up appointments."
Typography,"The use of type both to convey words and to contribute aesthet-ically to the message. U Unaided recall or recognition (pp. 174, 589) When one can remember an idea all by oneself."
Unbundling media services,Media departments that separate them-selves from agencies becoming separatecompanies.Uncontrolled
circulation,Publi- cations that are distributed free usually inracks in high-traffic areas.
Uncontrolled media,"Media that include the press release, the press confer-ence, and media tours."
Underlines,Text used to elaborate on the idea in the headline and serve as atransition into the body copy.
Underwriting,"In public broad- casting, a sponsor contributes funds to payfor the cost of the programming."
Undifferentiated strategy,"A view of the market that assumes all consumersare basically the same. Uniform resource locators (URLs) (p. 82) Internet domain names that are registeredand protected. Unique selling proposition (USP) (p. 239) A benefit statement about a feature that isboth unique to the product and important tothe user. URL (pp. 82, 392) A website address."
Usage,Categorizing consumers in terms of how much of the product they buy.
User-generated ads,"Promotional copy on personal websites developed bythe site’s owner to promote a product, ser-vice, viewpoint, or cause."
V Validity,"The research results actu- ally measure what they say they measure. Value added,"
value added media services,A marketing or advertising activity that makes a product—or a media buy—more valuable.
Value billing,"A practice by mar- keters of paying agencies for creative andstrategic ideas, rather than for executionsand media placement."
Values,"The source of norms; val- ues are not tied to specific objects or be-havior, are internal, and guide behavior. Values and Lifestyle System (VALS) (p. 132) A research method that categorizes people into lifestyle groups."
Vampire creativity,Big ideas that are so powerful that they are rememberedbut not the brand.
Variable data campaigns,"A direct-mail piece  featuring messages thatare personalized through the use of digitaltechnology. Vertical publications (pp. 359, 558) Pub- lications targeted at people working in thesame industry.626 GLOSSARY"
Video editing,Processing of recorded videotape to improve its finalpresentation; may include time manipula- tion and sound additions. Video news releases (VNRs) (p. 476) Contain video footage that can be used dur-ing a television newscast.
Videographer,"Person who shoots images with a video camera. Viral marketing (pp. 340, 401) A strategy used primarily in Web marketing that relieson consumers to pass on messages about aproduct. Viral video (pp. 347, 409) The practice of sending interesting videos digitally from avariety of sources, such as ads or YouTube,to friends and colleagues in a vast networkof personal connections."
Virtual communities,An online group of people interested in a particulartopic or brand.
Visualization,Imagining what the finished copy will look like.
Vlogs,Video blogs used for online distribution of personal video essays.
Voice-over,A technique used  in commercials in which an off-cameraannouncer talks about the on-camera scene.W
Wants,"Motivations based on de- sires and feelings. Wasted reach (pp. 381, 428) Advertising directed at a disinterested audience that isnot in the targeted audience."
Wave analysis,"In research, a se- ries of interviews conducted at differentpoints in a campaign. Wearout (pp. 434, 593) The point where the advertising gets tired and there is no re-sponse or a lower level of response than atthe advertising’s launch."
Website,"Sometimes called a “home page,” this is the online presence of a person or organization."
Webcasting,Radio transmitted through audio streaming over the Internet.
Webisode,Web advertisements that are similar to TV programs with a de-veloping storyline.
Weighting,In media planning de- cision criteria are used to determine the rel-ative amount of budget allocated to each medium.
White space,Areas in a layout that aren’t used for type or art.
Widgets,"Tiny computer programs that allow people to create and insert professional-looking content into their personal websites, as well as their com-puters, and other electronic media screens. Word-of-mouth (pp. 117, 329) Free ad- vertising that comes from people talkingabout a product."
World Wide Web,The structure of the information interface that operates be-hind the Internet.
Y Yellow Pages,"A form of directory advertising that lists the names of people or companies, their phone numbers, andaddresses."
Your-name-here copy,Pompous writing used in corporate communicationthat contains generic claims that do not dif-ferentiate the company.
Z Zap,"Changing channels when a television commercial comes on. Zines (pp. 359, 395) Magazines or news- letters that are only available online. Zip(p. 382) Fast forwarding past commer- cials in a previously recorded program."
Zone editions,Special versions of a newspaper that go to certain counties orsuburbs.GLOSSARY 627
